"env","loc","year","gen","yield","height","lodging"
"L70","Lawes",1970,"G01",2.387,1.445,4.25
"L70","Lawes",1970,"G02",2.282,1.45,4.25
"L70","Lawes",1970,"G03",2.567,1.46,3.75
"L70","Lawes",1970,"G04",2.877,1.26,3.5
"L70","Lawes",1970,"G05",2.392,1.335,3.5
"L70","Lawes",1970,"G06",2.408,1.36,4
"L70","Lawes",1970,"G07",2.699,1.3,3
"L70","Lawes",1970,"G08",2.457,0.955,3.25
"L70","Lawes",1970,"G09",2.567,1.03,3
"L70","Lawes",1970,"G10",2.984,1.155,3.75
"L70","Lawes",1970,"G11",1.663,1.42,4.5
"L70","Lawes",1970,"G12",1.964,1.435,4.25
"L70","Lawes",1970,"G13",1.472,1.585,4.5
"L70","Lawes",1970,"G14",2.72,1.33,4
"L70","Lawes",1970,"G15",2.22,1.37,4.25
"L70","Lawes",1970,"G16",1.655,1.7,4.75
"L70","Lawes",1970,"G17",1.722,1.28,4.25
"L70","Lawes",1970,"G18",1.432,1.495,4.5
"L70","Lawes",1970,"G19",1.434,1.37,4.25
"L70","Lawes",1970,"G20",0.998,1.32,4.5
"L70","Lawes",1970,"G21",1.373,1.575,4.25
"L70","Lawes",1970,"G22",2.185,1.345,4.25
"L70","Lawes",1970,"G23",2.405,1.485,4.25
"L70","Lawes",1970,"G24",2.643,1.46,3.75
"L70","Lawes",1970,"G25",2.315,1.46,3.5
"L70","Lawes",1970,"G26",3.211,1.18,4
"L70","Lawes",1970,"G27",2.239,1.18,3.5
"L70","Lawes",1970,"G28",2.775,1.625,4.25
"L70","Lawes",1970,"G29",1.848,1.13,4
"L70","Lawes",1970,"G30",1.402,1.435,4.25
"L70","Lawes",1970,"G31",2.562,1.22,3.75
"L70","Lawes",1970,"G32",3.003,1.73,3.5
"L70","Lawes",1970,"G33",2.395,1.41,4
"L70","Lawes",1970,"G34",2.4,1.475,4
"L70","Lawes",1970,"G35",2.341,1.105,3.5
"L70","Lawes",1970,"G36",1.98,0.915,3.5
"L70","Lawes",1970,"G37",2.166,1.7,4.25
"L70","Lawes",1970,"G38",2.341,1.17,4.5
"L70","Lawes",1970,"G39",2.435,1.61,4.5
"L70","Lawes",1970,"G40",1.556,1.205,4
"L70","Lawes",1970,"G41",1.967,1.385,4.5
