"env","gen","size","protein","oil"
"L70","G01",8.45,36.7,20.895
"L70","G02",9.95,37.55,20.74
"L70","G03",10.85,37.8,21.295
"L70","G04",10.05,38.45,21.99
"L70","G05",11,37.5,22.13
"L70","G06",11.75,38.25,21.16
"L70","G07",11.75,37.35,21.7
"L70","G08",10,35.2,21.145
"L70","G09",11.25,35.9,21.495
"L70","G10",10.85,39.7,20.43
"L70","G11",6.95,40.25,19.09
"L70","G12",8.35,40.3,18.745
"L70","G13",9.3,41.15,19.18
"L70","G14",8.25,37.4,20.76
"L70","G15",9.3,36.65,20.685
"L70","G16",9.15,39.65,20.435
"L70","G17",8.4,43.7,17.455
"L70","G18",7.8,42.4,17.4
"L70","G19",8.5,41.05,19.395
"L70","G20",8.95,41.1,18.215
"L70","G21",8.95,37.8,18.645
"L70","G22",8.65,40.35,18.95
"L70","G23",8.6,41.55,18.675
"L70","G24",10.85,40.7,21.2
"L70","G25",10.05,37.45,22.055
"L70","G26",9.55,39.75,20.07
"L70","G27",9.6,39,20.71
"L70","G28",8.55,38.4,21.03
"L70","G29",9.65,39.35,19.935
"L70","G30",9.75,41.6,18.91
"L70","G31",8.55,39.35,20.165
"L70","G32",9.65,42.15,18.695
"L70","G33",10.7,38.3,20.825
"L70","G34",8,38.35,20.135
"L70","G35",9.1,40.6,19.635
"L70","G36",7.95,44,17.91
"L70","G37",8.65,42.8,19.155
"L70","G38",9.9,39.25,20.74
"L70","G39",9.7,40.55,19.93
"L70","G40",9.25,41.2,19.625
"L70","G41",11.3,39.9,20.97
"L70","G42",14,41.4,21.37
"L70","G43",7.2,42.2,17.995
"L70","G44",16.9,40.4,20.94
"L70","G45",23.25,37,23.735
"L70","G46",16.5,39.6,22.03
"L70","G47",21,36.8,23.83
"L70","G48",18.85,38.15,24.43
"L70","G49",19.7,35.5,21.825
"L70","G50",17.9,39.9,24.565
"L70","G51",15.95,41.65,19.66
"L70","G52",15.3,41,20.21
"L70","G53",22,37.65,24.4
"L70","G54",21.5,40.2,22.905
"L70","G55",20.15,40.8,22.315
"L70","G56",19.4,39.8,22.585
"L70","G57",19.8,40.6,23.18
"L70","G58",16.1,40.9,20.78
"B70","G01",8.85,39.5,18.85
"B70","G02",8.9,38.6,19.835
"B70","G03",10.8,37.8,20.355
"B70","G04",10.6,38.7,20.385
"B70","G05",11.95,37.8,20.78
"B70","G06",11,37.4,19.92
"B70","G07",10.25,37.85,20.29
"B70","G08",6.15,38.5,17.88
"B70","G09",8.3,37.9,20.05
"B70","G10",11.85,38.35,19.745
"B70","G11",6.85,41.15,17.915
"B70","G12",5.4,43.6,16.785
"B70","G13",6.7,41.75,17.15
"B70","G14",8.15,38.3,18.835
"B70","G15",7.8,39.25,19.115
"B70","G16",9.15,40.6,19.07
"B70","G17",6.9,44.6,16.22
"B70","G18",5.9,44.6,15.655
"B70","G19",6.65,43,17.4
"B70","G20",7.7,45,17.315
"B70","G21",7.3,40.8,17.59
"B70","G22",7.9,45.8,16.96
"B70","G23",7,42.8,17.3
"B70","G24",9.85,38.95,20.495
"B70","G25",7.75,38.2,20.165
"B70","G26",8.8,38.6,19.92
"B70","G27",10.7,40.9,19.415
"B70","G28",7.6,38.2,19.99
"B70","G29",7.8,40.35,17.965
"B70","G30",5.75,40.25,16.495
"B70","G31",8.05,40.65,19.27
"B70","G32",8.55,43.6,18.415
"B70","G33",9.05,39.35,19.745
"B70","G34",7.9,40.2,18.76
"B70","G35",8.65,40.1,19.15
"B70","G36",6.2,40.95,16.56
"B70","G37",7.6,44.45,17.42
"B70","G38",9.05,40.85,19.76
"B70","G39",8.7,42.75,19.36
"B70","G40",9.85,41.85,19.125
"B70","G41",10.3,41.3,19.755
"B70","G42",15.4,41.95,19.15
"B70","G43",6.35,41.75,16.905
"B70","G44",14.05,39.35,19.715
"B70","G45",22.1,35.85,22.175
"B70","G46",15.15,37.05,23.08
"B70","G47",20.05,38.95,22.46
"B70","G48",16,37.9,24.095
"B70","G49",20,37.25,21.825
"B70","G50",15.65,34.2,25.045
"B70","G51",18.55,40.5,20.345
"B70","G52",10.2,40.35,17.37
"B70","G53",18.3,38.4,23.535
"B70","G54",19.45,37,22.105
"B70","G55",15.05,37.4,24.925
"B70","G56",19.85,39.25,22.205
"B70","G57",21.5,41.4,22.14
"B70","G58",16.5,42.1,19.415
"N70","G01",9.25,34.25,22.33
"N70","G02",9.35,37.6,22.445
"N70","G03",11.9,35.5,23.68
"N70","G04",12.75,34.35,23.175
"N70","G05",12.7,33.2,24.82
"N70","G06",11.95,35.1,23.17
"N70","G07",12.75,34.15,24.1
"N70","G08",12.55,35.75,21.445
"N70","G09",10.6,34.55,23.1
"N70","G10",9.5,33.7,22.045
"N70","G11",8,37.05,22.355
"N70","G12",8.15,38.7,20.945
"N70","G13",8.55,37.65,21.71
"N70","G14",8.65,34.8,22.745
"N70","G15",9.4,37.65,22.13
"N70","G16",9.25,36.4,23.01
"N70","G17",8.45,39.6,20.23
"N70","G18",8.75,38,20.1
"N70","G19",9.9,39.45,20.455
"N70","G20",9.85,38.95,19.93
"N70","G21",8.8,37.1,20.88
"N70","G22",9.3,37.5,20.34
"N70","G23",7.55,36.35,20.755
"N70","G24",10.9,38.9,22.455
"N70","G25",11.1,36.6,24.01
"N70","G26",10.8,37.85,21.96
"N70","G27",9.65,36.75,22.74
"N70","G28",8.75,33.2,23.395
"N70","G29",10.1,37.9,21.37
"N70","G30",9.05,35.95,22.135
"N70","G31",8.05,36.8,21.985
"N70","G32",10.75,39.2,21.3
"N70","G33",10.6,34.7,22.8
"N70","G34",7.65,36.5,22.35
"N70","G35",9.5,36.25,21.03
"N70","G36",13.25,35.55,21.555
"N70","G37",9.05,39.9,20.625
"N70","G38",10.8,37.75,22.8
"N70","G39",9.5,37.45,22.95
"N70","G40",8.95,37.75,22.4
"N70","G41",12.75,37.65,22.015
"N70","G42",18.15,37.75,21.91
"N70","G43",7.8,36.2,21.235
"N70","G44",14.5,35.55,24.52
"N70","G45",16,35.55,25.24
"N70","G46",15.55,34.35,25.65
"N70","G47",15.75,38.8,23.505
"N70","G48",15.35,35.95,25.8
"N70","G49",13.4,33.25,25.725
"N70","G50",17.8,34.95,26.845
"N70","G51",14.75,38.45,23.46
"N70","G52",14.05,36.45,24.64
"N70","G53",19.75,39.55,23.615
"N70","G54",19.05,37.4,25.92
"N70","G55",16.85,38,24.57
"N70","G56",20.25,39.05,23.58
"N70","G57",18.6,38.95,24.755
"N70","G58",17.35,39.2,20.845
"R70","G01",6.25,40.75,15.92
"R70","G02",7.35,40.95,17.645
"R70","G03",8.5,39.8,19.975
"R70","G04",8.85,39.95,21.075
"R70","G05",9.65,37.4,21.425
"R70","G06",9.3,38,19.91
"R70","G07",7.85,37.7,20.735
"R70","G08",7.9,39.5,19.13
"R70","G09",8.65,38.2,19.76
"R70","G10",10.3,39.35,20.015
"R70","G11",4,42.9,14.23
"R70","G12",4.1,41.75,13.88
"R70","G13",6.35,42.6,15.21
"R70","G14",6.55,40.05,17.32
"R70","G15",7.1,40.45,17.375
"R70","G16",7.05,42.85,15.41
"R70","G17",5.65,44.75,13.06
"R70","G18",4.65,46,13.615
"R70","G19",8.65,43.2,18.325
"R70","G20",6.95,43.9,14.845
"R70","G21",6.65,43.6,13.03
"R70","G22",5.45,45.05,13.395
"R70","G23",5.25,41.55,14.075
"R70","G24",7.1,40.75,18.055
"R70","G25",7.05,40.1,18.585
"R70","G26",7.3,40.25,17.285
"R70","G27",7.5,40.55,17.41
"R70","G28",5.05,39.8,16.75
"R70","G29",8,41.15,18.685
"R70","G30",6.65,44.6,16.245
"R70","G31",6.7,42.55,15.65
"R70","G32",6.8,43.8,16.07
"R70","G33",8.85,40.15,19.075
"R70","G34",6.05,42.7,16.265
"R70","G35",7.1,40.95,17.05
"R70","G36",6.15,42.9,14.32
"R70","G37",8.45,42.1,17.985
"R70","G38",7.05,40.95,17.305
"R70","G39",6.85,42.9,18.21
"R70","G40",6.25,43.25,17.265
"R70","G41",8.8,40.9,20.81
"R70","G42",13.25,44.5,20.795
"R70","G43",4.65,41.75,16.065
"R70","G44",16,37.2,23.815
"R70","G45",16.55,36.75,24.105
"R70","G46",18.3,37.95,23.425
"R70","G47",17.1,37.8,25.095
"R70","G48",15.8,38.25,24.525
"R70","G49",14.2,36.3,23.41
"R70","G50",14.55,40.2,24.76
"R70","G51",18.65,38.75,23.995
"R70","G52",13.55,38.15,24.545
"R70","G53",17.65,38.35,24.575
